,year,anomaly,"np.power(anomaly, 2)",gmsl,"np.power(gmsl, 2)"
0,2020,126975869672.29251,-541069262827.6506,1991536216.2999816,119594964.46942212
1,2021,95550998407.8397,-272803517339.87177,2057336212.3013651,108023500.07155487
2,2022,236856672684.47775,-422316342745.08484,1936301985.0795937,109689611.30386552
3,2023,244683653698.64996,-375149440735.1316,1947423251.6724443,100637106.60792822
4,2024,204708719757.7691,-207175546317.08197,1826746632.613094,102650532.33103335
5,2025,106087721604.05983,36465014388.90976,1893919484.7328193,92904941.32182014
6,2026,39370289085.55632,87539559600.72334,1828888376.8776429,92576627.31004001
7,2027,-39011261270.50432,214190339374.88135,1891278013.6385007,83817098.0138838
8,2028,-38743482002.34264,265041779663.31073,1866303992.6348648,79988019.15631197
9,2029,-109492251881.63715,367203670902.0287,2077563543.9305637,65342390.02429257
10,2030,-60023070876.04707,311901708904.8904,2099634245.504502,59534734.164498895
11,2031,-41253287483.065384,369353619862.6354,2059561837.284778,56191477.28300128
12,2032,-35258658495.19992,392259049453.6682,2190185117.980093,46318364.52874297
13,2033,-55986419139.29883,399014362983.2718,2272141323.9135427,40068799.51514228
14,2034,54429367051.78811,304859311794.65845,2266366238.6955304,37277403.307052925
15,2035,2616798263.215912,408239985120.798,2325321141.6323237,33311380.283075966
16,2036,-64559348339.1699,488572116820.35767,2353185052.5661736,30703819.09059166
17,2037,-6192365064.159737,427774904620.10535,2291613562.794761,30875482.740503483
18,2038,86467614178.09488,376529958215.95557,2411365501.9937625,25538115.693654396
19,2039,75474753061.06079,389284491448.67163,2506729506.7274904,21080072.1264306
20,2040,66903980974.41498,394387104832.51306,2435844919.7253704,21658811.246153936
21,2041,70867621649.61626,397004045259.3082,2400273060.4721756,21257068.017909933
22,2042,68376842435.8695,444242304240.1934,2430936214.7051306,19286708.116082866
23,2043,32477959334.391403,491446342171.678,2362820222.292741,19815823.572590303
24,2044,51028878879.53903,511130662266.1481,2374336957.692734,18803323.220082972
25,2045,49328289255.102554,532931277396.251,2501341093.6799974,14959659.910217188
26,2046,22755254908.8463,571639131712.7927,2536327013.7935834,13724502.262374595
27,2047,49556251169.82855,567803359057.0854,2577659099.5363417,12387208.098247312
28,2048,43455380121.4258,583075227237.4275,2649965993.078466,10733979.150333421
29,2049,16754217941.105667,608849677743.0281,2639275906.738675,10634743.441125646
30,2050,-14812355308.261261,643528146423.0159,2604068568.092112,11014001.377071286
31,2051,-39609868727.40036,694122292736.9376,2673284670.9297113,9289255.577137498
32,2052,60282236963.105965,643545254992.0416,2739881100.1702585,7649338.135592088
33,2053,82789359462.3383,654349680489.4729,2711106353.795941,8094310.357449297
34,2054,149414857168.58112,629545525760.3442,2759992923.742404,7062604.304060578
35,2055,172394281765.4477,628489127964.6177,2782471576.2562103,6559638.524405738
36,2056,143171543145.49207,631824889933.6187,2755946467.139386,6736534.554420795
37,2057,104446410353.01335,659524166160.585,2678728685.725569,7991755.062614685
38,2058,92871229776.70618,670250437943.1631,2628936013.986827,8948634.188368069
39,2059,89166710447.5807,685255798844.6327,2588017826.0375814,9378872.37710582
40,2060,130286732914.97414,673516289350.7712,2579071491.494897,9559731.695072703
41,2061,109710307076.02078,697611983784.355,2638210850.5867167,8684938.550642852
42,2062,119236641375.93408,705494772905.2617,2739282657.73182,7064273.721080488
43,2063,134872430160.46625,699541607524.5916,2730221160.425069,6849897.191671718
44,2064,225777244966.39206,669614050872.0952,2748833317.6207924,6494586.005698703
45,2065,172682975567.98846,707709977163.955,2661716878.4178014,7737177.588760592
46,2066,177258589811.58438,724234867733.0046,2631717304.012583,7982636.8009204585
47,2067,271897547647.86945,701992277420.0692,2666044552.7388616,7793671.528255958
48,2068,283338881358.6216,706782246449.6945,2634190090.0744214,8267935.582098732
49,2069,107402199890.78052,789571289535.8328,2616825192.59482,8516586.014889792
50,2070,89581444180.09274,811041376903.8574,2636877568.7453756,8301502.647325535
51,2071,127474795988.2186,801233700368.9761,2765854476.1137695,6988079.65981315
52,2072,107998682528.35349,820113439963.1001,2702140134.2836356,7556083.52966762
53,2073,88334098559.81552,841120367234.0171,2735072947.0817747,7249447.083178939
54,2074,125261457989.1466,839305298846.845,2846418245.224529,5864515.28677287
55,2075,95651985162.71729,870810533148.2434,2823812477.2313766,6130851.354104494
56,2076,106307974027.9007,877339204793.0422,2780190684.8606415,6548514.6770202825
57,2077,44572585450.7977,909381810246.5884,2793663784.4592776,6451381.008075999
58,2078,4958903368.907974,946708538260.4808,2829098603.360199,6021337.474553675
59,2079,-63502391206.33746,975622222698.9152,2758507019.0845118,6881619.362816938
60,2080,-227779649364.09485,1030938055198.7786,2810118138.6844363,6312325.70245107
61,2081,-390687978820.45087,1107825715851.5615,2887757728.0786977,5539732.799034866
62,2082,-428170155498.6592,1135634674807.2395,2927457842.5938215,5352908.397279399
63,2083,-567587538225.6937,1189288367160.1147,2970329525.862316,5118211.639798896
64,2084,-603512232604.9814,1226746186422.1094,2998058156.4925747,4901207.349486305
65,2085,-584777737103.2351,1229566115336.9707,2999270826.756242,5024840.148057021
66,2086,-633841732766.5519,1244455547890.713,2974025133.245838,5403866.744908035
67,2087,-802294882853.1772,1307805740344.3467,3025995326.6622744,5082332.216865079
68,2088,-839931836035.0142,1326385742602.917,3025994270.068413,5193756.48530762
69,2089,-905288608918.9514,1347412643403.1167,3060386681.993932,5109894.069358696
70,2090,-990265830284.4232,1389138495336.686,3151320843.095189,4541344.745311291
71,2091,-1066260371849.6489,1433620236898.7114,3208630944.3793683,4231279.044623275
72,2092,-1052427006041.5024,1441224873797.093,3290226726.8414826,3537261.8641250376
73,2093,-1232047616246.9473,1504964983474.679,3305486607.2066145,3435091.6169409077
74,2094,-1255318810426.7024,1521816666086.532,3381078603.111452,2737358.75784391
75,2095,-1290324193579.2622,1544087926296.7993,3600241773.299706,1056275.7726930957
76,2096,-1415048641786.457,1585624546474.946,3565681159.772691,1339712.8435198287
77,2097,-1645979298483.8047,1657842750098.0947,3542536268.6219406,1516220.0695622168
78,2098,-1608018216596.499,1653209397327.9465,3554117575.4717674,1423844.3639353863
79,2099,-1705774491492.3088,1693478467931.6963,3635913318.1386447,1053435.0238681193
